DATE,indprod,income,sales,emp
1987-05-01,55.1735,5807.9,619034.2244445472,101728
1987-06-01,55.3431,5812.0,618001.2761270246,101900
1987-07-01,55.7822,5834.8,621085.4932711741,102247
1987-08-01,56.1347,5873.0,626471.9024171225,102418
1987-09-01,56.4619,5879.9,623709.4970581705,102646
1987-10-01,57.4045,5920.0,630583.4417986339,103138
1987-11-01,57.7151,5951.8,629856.5522418588,103370
1987-12-01,58.0931,6023.5,628111.3421759792,103664
1988-01-01,57.9818,5994.2,633433.6140080944,103758
1988-02-01,58.1462,6021.5,631987.7114067692,104211
1988-03-01,58.3246,6025.1,639130.5827789189,104487
1988-04-01,58.8559,6050.3,649367.7982395076,104732
1988-05-01,58.7658,6056.4,645885.2546199734,104961
1988-06-01,58.8844,6079.9,647912.893909925,105324
1988-07-01,58.883,6110.7,654264.7384114664,105546
1988-08-01,58.9347,6126.4,651611.4790076339,105670
1988-09-01,59.1631,6137.5,651988.4263784074,106009
1988-10-01,59.4389,6176.0,654567.4215241175,106277
1988-11-01,59.6191,6176.4,659648.8971253504,106616
1988-12-01,59.8945,6215.1,662195.2610061278,106906
1989-01-01,60.4249,6260.3,670826.7931888247,107168
1989-02-01,59.7991,6280.5,671593.0653067254,107426
1989-03-01,59.7082,6306.3,664253.2811289479,107619
1989-04-01,59.8913,6287.9,660299.2719919387,107792
1989-05-01,59.308,6258.7,666321.4281960572,107910
1989-06-01,59.459,6274.3,663350.8578711557,108026
1989-07-01,58.7867,6297.8,661305.2151246894,108066
1989-08-01,59.334,6308.2,654522.412882831,108115
1989-09-01,59.1947,6322.1,671137.3528137007,108365
1989-10-01,59.074,6350.3,666435.0750153054,108476
1989-11-01,59.1936,6353.0,660001.0897434164,108753
1989-12-01,59.2538,6362.7,665903.973048126,108849
1990-01-01,59.0968,6364.6,668104.8956070304,109184
1990-02-01,59.9864,6388.2,662886.1436498738,109432
1990-03-01,60.3077,6390.0,672735.1595793674,109647
1990-04-01,60.1199,6427.1,676655.4122354117,109687
1990-05-01,60.2522,6411.6,668857.6651325452,109840
1990-06-01,60.447,6423.6,674292.4585678764,109865
1990-07-01,60.3354,6448.2,676035.4182016917,109829
1990-08-01,60.5188,6407.5,672413.3477941697,109619
1990-09-01,60.5266,6398.9,679177.0213634814,109517
1990-10-01,60.0246,6335.9,666689.3738385733,109370
1990-11-01,59.3549,6332.5,663830.1999008557,109220
1990-12-01,58.9031,6357.3,655982.9432925741,109163
1991-01-01,58.4627,6290.5,649155.1324094292,109042
1991-02-01,58.0634,6290.4,644877.0610551581,108735
1991-03-01,57.6829,6293.7,648693.7938362437,108577
1991-04-01,57.8994,6305.8,644943.4488010556,108365
1991-05-01,58.3135,6302.2,657651.6386682669,108249
1991-06-01,58.9614,6337.4,663045.9243264404,108337
1991-07-01,59.1781,6321.8,660076.4792175711,108297
1991-08-01,59.2747,6328.2,668692.2583758177,108314
1991-09-01,59.9511,6345.7,665874.7174312898,108334
1991-10-01,59.8402,6333.2,668722.6392086861,108359
1991-11-01,59.7324,6351.3,669397.7688279819,108303
1991-12-01,59.6423,6395.5,667230.6027500425,108325
1992-01-01,59.2955,6418.0,658736.3469232691,108374
1992-02-01,59.8716,6457.7,671496.2967279598,108317
1992-03-01,60.5019,6464.3,673185.2459922315,108369
1992-04-01,60.8387,6483.2,675894.766197672,108526
1992-05-01,61.2023,6519.1,680399.0059744071,108653
1992-06-01,61.384,6548.7,674479.244429215,108718
1992-07-01,61.9505,6538.9,681589.484536432,108792
1992-08-01,61.7102,6563.4,690717.2369893113,108927
1992-09-01,61.7609,6528.0,679729.5024352721,108959
1992-10-01,62.1899,6490.6,689180.1918893813,109145
1992-11-01,62.4647,6512.2,691969.602433105,109277
1992-12-01,62.3813,6778.0,693148.8288348083,109494
1993-01-01,62.9768,6564.2,703938.5253671875,109804
1993-02-01,63.1154,6593.3,705701.7388895818,110051
1993-03-01,62.9605,6567.0,704797.0651997253,109997
1993-04-01,63.3256,6624.6,700341.209712373,110304
1993-05-01,63.2811,6625.6,703959.9044717985,110573
1993-06-01,63.1472,6606.4,705074.9935596688,110749
1993-07-01,63.3425,6624.4,711593.3700339698,111055
1993-08-01,63.2535,6635.6,708150.2089755612,111210
1993-09-01,63.6817,6618.4,711779.0306792761,111455
1993-10-01,64.26,6589.0,718117.3725884315,111741
1993-11-01,64.529,6608.9,721184.7114920986,111991
1993-12-01,64.9251,6866.0,724884.4218058396,112314
1994-01-01,65.0366,6701.3,727176.4868633489,112590
1994-02-01,65.1336,6711.9,728004.6458630183,112788
1994-03-01,66.0145,6733.8,734663.6743413393,113249
1994-04-01,66.5958,6804.4,746895.897826947,113596
1994-05-01,67.0608,6828.3,742962.1425785169,113929
1994-06-01,67.2811,6815.7,744760.237797908,114248
1994-07-01,67.5985,6833.8,751597.0504093103,114618
1994-08-01,68.1093,6842.6,748302.4178671468,114900
1994-09-01,68.4335,6874.2,765972.8104361823,115260
1994-10-01,69.1639,6927.7,762656.7987894077,115469
1994-11-01,69.7089,6922.8,768477.5413237697,115876
1994-12-01,70.5013,6951.4,775247.9661892744,116168
1995-01-01,70.6324,6978.0,781069.8339396686,116495
1995-02-01,70.4245,6993.8,784520.8715103023,116693
1995-03-01,70.6007,7009.4,780106.6490161399,116912
1995-04-01,70.4932,7018.0,779830.9710882608,117074
1995-05-01,70.6294,7017.0,773995.6007454807,117057
1995-06-01,70.975,7048.7,779694.8199483694,117297
1995-07-01,70.5181,7071.1,787210.1378271639,117389
1995-08-01,71.3401,7084.5,777903.4760251712,117641
1995-09-01,71.9943,7117.8,793662.1265555674,117893
1995-10-01,71.9737,7139.9,792692.1903358458,118045
1995-11-01,72.047,7171.2,793106.2698356805,118191
1995-12-01,72.3691,7178.0,799598.7663412418,118323
1996-01-01,71.8204,7186.9,803388.4939375556,118310
1996-02-01,72.9706,7249.2,795369.0792763536,118735
1996-03-01,72.8256,7271.3,802555.8340737573,119000
1996-04-01,73.6724,7286.1,802955.285765174,119165
1996-05-01,74.2493,7324.5,810139.7901305135,119491
1996-06-01,75.0792,7378.7,816303.7235546842,119772
1996-07-01,75.3075,7370.7,812455.4847246981,120023
1996-08-01,75.6847,7401.4,818871.4665400725,120208
1996-09-01,76.3523,7430.4,821682.2561884072,120421
1996-10-01,76.2233,7436.4,824194.8635882196,120682
1996-11-01,76.8785,7462.8,830646.8523166232,120977
1996-12-01,77.5495,7496.1,836791.6570682472,121148
1997-01-01,77.59,7531.4,830765.0,121379
1997-02-01,78.6804,7568.3,847706.0,121687
1997-03-01,79.5253,7603.8,848088.0,121999
1997-04-01,79.3725,7614.8,850955.0,122291
1997-05-01,79.9639,7654.8,850741.0,122554
1997-06-01,80.4705,7684.0,862181.0,122818
1997-07-01,80.991,7724.9,870992.0,123121
1997-08-01,82.0555,7773.7,868477.0,123099
1997-09-01,82.761,7801.0,875469.0,123598
1997-10-01,83.4791,7846.8,872898.0,123942
1997-11-01,84.4277,7907.5,882245.0,124241
1997-12-01,84.7837,7954.9,880007.0,124559
1998-01-01,85.5532,8034.7,881646.0,124831
1998-02-01,85.6117,8094.9,894042.0,125029
1998-03-01,85.4634,8147.2,898463.0,125174
1998-04-01,85.8617,8183.6,899613.0,125454
1998-05-01,86.3168,8227.6,902645.0,125856
1998-06-01,85.6056,8278.0,899100.0,126079
1998-07-01,85.2092,8300.4,893864.0,126209
1998-08-01,87.3803,8337.1,903640.0,126549
1998-09-01,87.2325,8366.5,912190.0,126767
1998-10-01,88.0883,8386.5,919966.0,126968
1998-11-01,88.2104,8426.9,923924.0,127241
1998-12-01,88.7295,8443.7,931087.0,127608
1999-01-01,89.0205,8455.0,929771.0,127725
1999-02-01,89.7917,8492.2,944131.0,128135
1999-03-01,89.7115,8499.1,942748.0,128242
1999-04-01,90.1159,8494.8,941076.0,128614
1999-05-01,90.9185,8516.6,955000.0,128825
1999-06-01,90.6321,8547.7,955931.0,129089
1999-07-01,91.0983,8565.3,957148.0,129417
1999-08-01,91.5629,8603.5,964785.0,129571
1999-09-01,91.1391,8603.9,962947.0,129796
1999-10-01,92.5667,8666.6,971382.0,130190
1999-11-01,93.144,8740.6,976367.0,130479
1999-12-01,93.7864,8821.8,980672.0,130789
2000-01-01,93.9291,8923.0,988511.0,131007
2000-02-01,94.1561,8963.6,970668.0,131138
2000-03-01,94.7768,8991.3,982117.0,131605
2000-04-01,95.5148,9027.1,990182.0,131898
2000-05-01,95.4372,9031.0,985063.0,132117
2000-06-01,95.6248,9069.9,991595.0,132081
2000-07-01,95.748,9122.4,985361.0,132254
2000-08-01,95.1218,9163.1,985751.0,132239
2000-09-01,95.5694,9161.8,996297.0,132383
2000-10-01,95.3415,9176.6,988764.0,132368
2000-11-01,95.0922,9178.1,981487.0,132590
2000-12-01,94.5865,9174.1,989191.0,132727
2001-01-01,94.0439,9222.3,982192.0,132702
2001-02-01,93.5783,9249.3,986452.0,132776
2001-03-01,93.3825,9277.8,974611.0,132748
2001-04-01,93.0433,9238.5,966901.0,132469
2001-05-01,92.3779,9205.9,975322.0,132428
2001-06-01,91.7478,9190.8,961911.0,132307
2001-07-01,91.2562,9189.9,965638.0,132199
2001-08-01,90.8653,9190.8,973575.0,132053
2001-09-01,90.6689,9190.9,953116.0,131803
2001-10-01,90.1404,9158.9,981507.0,131475
2001-11-01,89.9289,9163.4,976426.0,131178
2001-12-01,90.1704,9170.6,978560.0,131001
2002-01-01,90.7395,9172.2,978220.0,130852
2002-02-01,90.7463,9169.6,980487.0,130724
2002-03-01,91.52,9159.2,974185.0,130707
2002-04-01,91.7528,9150.5,987178.0,130624
2002-05-01,92.257,9164.8,989114.0,130641
2002-06-01,93.3534,9187.0,991365.0,130692
2002-07-01,93.0071,9154.9,990582.0,130615
2002-08-01,93.2201,9148.8,999536.0,130608
2002-09-01,93.3557,9144.9,991164.0,130541
2002-10-01,93.0197,9159.2,987569.0,130654
2002-11-01,93.4729,9174.1,995803.0,130660
2002-12-01,92.9124,9184.0,988651.0,130490
2003-01-01,93.4213,9162.7,994220.0,130597
2003-02-01,93.5476,9138.0,982784.0,130451
2003-03-01,93.7127,9159.2,991898.0,130243
2003-04-01,92.9716,9206.7,989143.0,130194
2003-05-01,93.0688,9282.9,998166.0,130205
2003-06-01,93.5455,9315.6,1007270.0,130198
2003-07-01,93.8245,9321.0,1017066.0,130217
2003-08-01,93.535,9330.5,1012741.0,130171
2003-09-01,94.3049,9342.8,1019694.0,130281
